provider_id,name,api,models,models_with_price,models_paid,models_zero,min_input,min_output,npm,is_plan
routing-run,routing.run,https://api.routing.run/v1,15,15,15,0,0.1,0.1,@ai-sdk/openai-compatible,0
runinfra,RunInfra,https://api.runinfra.ai/v1,7,7,7,0,0.05,0.15,@ai-sdk/openai-compatible,0
sakana,Sakana AI,https://api.sakana.ai/v1,4,3,3,0,0.95,4,@ai-sdk/openai-compatible,0
salad-cloud,SaladCloud AI Gateway,,1,1,1,0,0.09,0.6,@saladtechnologies-oss/ai-sdk-provider,0
sap-ai-core,SAP AI Core,,49,45,45,0,0.02,0.1,@jerome-benoit/sap-ai-provider-v2,0
sarvam,Sarvam AI,https://api.sarvam.ai/v1,2,0,0,0,,,@ai-sdk/openai-compatible,0
scaleway,Scaleway,https://api.scaleway.ai/v1,15,15,15,0,0.003,0.2,@ai-sdk/openai-compatible,0
scnet-token-plan,SCNet Token Plan,https://api.scnet.cn/api/llm/v1,19,19,0,19,,,@ai-sdk/openai-compatible,1
scx-ai,SCX.ai,https://api.scx.ai/v1,4,4,4,0,0.17,0.55,@ai-sdk/openai-compatible,0
sensenova,SenseNova (China),https://token.sensenova.cn/v1,5,5,0,5,,,@ai-sdk/openai-compatible,0
siliconflow,SiliconFlow,https://api.siliconflow.com/v1,49,49,49,0,0.04,0.05,@ai-sdk/openai-compatible,0
siliconflow-cn,SiliconFlow (China),https://api.siliconflow.cn/v1,47,47,44,3,0.05,0.05,@ai-sdk/openai-compatible,0
snowflake-cortex,Snowflake Cortex,https://${SNOWFLAKE_ACCOUNT}.snowflakecomputing.com/api/v2/cortex/v1,25,0,0,0,,,@ai-sdk/openai-compatible,0
stackit,STACKIT,https://api.openai-compat.model-serving.eu01.onstackit.cloud/v1,8,8,8,0,0.02,0.02,@ai-sdk/openai-compatible,0
standardcompute,Standard Compute,https://api.stdcmpt.com/v1,1,1,0,1,,,@openrouter/ai-sdk-provider,0
stepfun,StepFun (China),https://api.stepfun.com/v1,8,5,5,0,0.1,0.3,@ai-sdk/openai-compatible,0
stepfun-ai,StepFun (Global),https://api.stepfun.ai/v1,8,5,5,0,0.1,0.3,@ai-sdk/openai-compatible,0
stepfun-ai-step-plan,StepFun Step Plan (Global),https://api.stepfun.ai/step_plan/v1,3,0,0,0,,,@ai-sdk/openai-compatible,1
stepfun-step-plan,StepFun Step Plan (China),https://api.stepfun.com/step_plan/v1,4,0,0,0,,,@ai-sdk/openai-compatible,1
subconscious,Subconscious,https://api.subconscious.dev/v1,2,2,2,0,0.3,3,@ai-sdk/anthropic,0
submodel,submodel,https://llm.submodel.ai/v1,9,9,9,0,0.1,0.3,@ai-sdk/openai-compatible,0
synthetic,Synthetic,https://api.synthetic.new/openai/v1,10,10,10,0,0.1,0.1,@ai-sdk/openai-compatible,0
tencent-coding-plan,Tencent Coding Plan (China),https://api.lkeap.cloud.tencent.com/coding/v3,8,8,0,8,,,@ai-sdk/openai-compatible,1
tencent-token-plan,Tencent Token Plan,https://api.lkeap.cloud.tencent.com/plan/v3,2,2,1,1,0.834,2.501,@ai-sdk/openai-compatible,1
tencent-tokenhub,Tencent TokenHub,https://tokenhub.tencentmaas.com/v1,3,3,1,2,0.834,2.501,@ai-sdk/openai-compatible,0
tensorx,TensorX,https://api.tensorx.ai/v1,25,25,25,0,0.072,0.2,@ai-sdk/openai-compatible,0
